ThreadID, cIDX, Time, cycles, deltaT, RX, OnRX, TX, SupTX, OnTX, Idle, OnIdle, Blocked, CacheMiss, CacheHit, CacheWB, CPUIdle, RX/s, TX/s, Sup/s
430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
430, 0, 1.000030, 210006301, 1.000030, 27306, 27306, 27304, 0, 6826, 0, 0, 0, 0, 0, 0, 25927767, 27305.180715, 27303.180775, 0.000000
430, 1, 2.000079, 210010295, 1.000049, 27095, 27095, 27096, 0, 6774, 0, 0, 3, 0, 0, 0, 25956410, 27093.671765, 27094.671716, 0.000000
430, 2, 3.000106, 210005641, 1.000027, 27122, 27122, 27128, 0, 6782, 0, 0, 3, 0, 0, 0, 26129858, 27121.271471, 27127.271310, 0.000000
430, 3, 4.000126, 210004144, 1.000020, 27178, 27178, 27172, 0, 6793, 0, 0, 0, 0, 0, 0, 25975250, 27177.463698, 27171.463816, 0.000000
430, 4, 5.000161, 210007520, 1.000036, 27111, 27111, 27109, 0, 6778, 0, 0, 0, 0, 0, 0, 26606377, 27110.029203, 27108.029274, 0.000000
430, 5, 6.000188, 210005563, 1.000026, 27095, 27095, 27099, 0, 6774, 0, 0, 0, 0, 0, 0, 26629597, 27094.282260, 27098.282154, 0.000000
430, 6, 7.000250, 210012971, 1.000062, 27200, 27200, 27196, 0, 6799, 0, 0, 0, 0, 0, 0, 26764489, 27198.320050, 27194.320297, 0.000000
430, 7, 8.000294, 210009329, 1.000044, 27082, 27082, 27080, 0, 6770, 0, 0, 0, 0, 0, 0, 26466382, 27080.796968, 27078.797057, 0.000000
