ThreadID, cIDX, Time, cycles, deltaT, RX, OnRX, TX, SupTX, OnTX, Idle, OnIdle, Blocked, CacheMiss, CacheHit, CacheWB, CPUIdle, RX/s, TX/s, Sup/s
10954, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10954, 0, 1.000041, 210008582, 1.000041, 27245, 27245, 27248, 0, 6812, 0, 0, 0, 644647, 182129159, 269708, 28960811, 27243.886633, 27246.886511, 0.000000
10954, 1, 2.000053, 210002579, 1.000012, 27148, 27148, 27152, 0, 6788, 0, 0, 0, 563515, 182119414, 229093, 29116432, 27147.666601, 27151.666552, 0.000000
10954, 2, 3.000096, 210008915, 1.000042, 27124, 27124, 27116, 0, 6779, 0, 0, 0, 555794, 182056961, 226432, 29282137, 27122.848570, 27114.848910, 0.000000
10954, 3, 4.000235, 210029362, 1.000140, 27153, 27153, 27160, 0, 6790, 0, 0, 5, 542178, 182066877, 220325, 29108618, 27149.204024, 27156.203046, 0.000000
10954, 4, 5.000428, 210040388, 1.000192, 27174, 27174, 27167, 0, 6792, 0, 0, 4, 527168, 181856844, 212700, 29715258, 27168.774798, 27161.776144, 0.000000
10954, 5, 6.000479, 210010706, 1.000051, 27049, 27049, 27049, 0, 6762, 0, 0, 4, 519482, 181644391, 208712, 29996664, 27047.621087, 27047.621087, 0.000000
10954, 6, 7.000639, 210033717, 1.000161, 27206, 27206, 27204, 0, 6801, 0, 0, 0, 517741, 181841391, 208786, 29653790, 27201.632584, 27199.632905, 0.000000
10954, 7, 8.000645, 210001250, 1.000006, 27097, 27097, 27098, 0, 6775, 0, 0, 0, 515958, 181845230, 205732, 29732852, 27096.838709, 27097.838703, 0.000000
