ThreadID, cIDX, Time, cycles, deltaT, RX, OnRX, TX, SupTX, OnTX, Idle, OnIdle, Blocked, CacheMiss, CacheHit, CacheWB, CPUIdle, RX/s, TX/s, Sup/s
9576, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9576, 0, 1.000539, 210113247, 1.000539, 27092, 27092, 27095, 0, 6774, 0, 0, 1, 0, 0, 0, 29163194, 27077.397933, 27080.396316, 0.000000
9576, 1, 2.000561, 210004498, 1.000021, 27187, 27187, 27184, 0, 6796, 0, 0, 7, 0, 0, 0, 28851953, 27186.417693, 27183.417757, 0.000000
9576, 2, 3.000649, 210018641, 1.000089, 27205, 27205, 27209, 0, 6802, 0, 0, 2, 0, 0, 0, 29038982, 27202.585317, 27206.584962, 0.000000
9576, 3, 4.000691, 210008823, 1.000042, 27089, 27089, 27082, 0, 6771, 0, 0, 6, 0, 0, 0, 29097794, 27087.861923, 27080.862217, 0.000000
9576, 4, 5.000763, 210014978, 1.000071, 27089, 27089, 27090, 0, 6772, 0, 0, 9, 0, 0, 0, 29335611, 27087.068047, 27088.067976, 0.000000
9576, 5, 6.000811, 210010060, 1.000048, 27147, 27147, 27148, 0, 6787, 0, 0, 11, 0, 0, 0, 29905932, 27145.699592, 27146.699544, 0.000000
9576, 6, 7.000836, 210005407, 1.000026, 27160, 27160, 27160, 0, 6790, 0, 0, 0, 0, 0, 0, 29609147, 27159.300713, 27159.300713, 0.000000
9576, 7, 8.000916, 210016758, 1.000080, 27055, 27055, 27056, 0, 6764, 0, 0, 0, 0, 0, 0, 29671245, 27052.841183, 27053.841103, 0.000000
