ThreadID, cIDX, Time, cycles, deltaT, RX, OnRX, TX, SupTX, OnTX, Idle, OnIdle, Blocked, CacheMiss, CacheHit, CacheWB, CPUIdle, RX/s, TX/s, Sup/s
10178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10178, 0, 1.000180, 210037853, 1.000180, 31634, 31634, 31640, 0, 7910, 0, 0, 0, 652247, 182112494, 271082, 29110833, 31628.298924, 31634.297842, 0.000000
10178, 1, 2.000212, 210006658, 1.000032, 31648, 31648, 31652, 0, 7913, 0, 0, 0, 566806, 182113649, 230815, 29145730, 31646.996640, 31650.996513, 0.000000
10178, 2, 3.000233, 210004327, 1.000021, 31633, 31633, 31609, 0, 7903, 0, 0, 2, 545465, 182020811, 220797, 29295084, 31632.348223, 31608.348718, 0.000000
10178, 3, 4.000274, 210008797, 1.000042, 31721, 31721, 31725, 0, 7931, 0, 0, 12, 526904, 181991218, 211667, 29360281, 31719.671248, 31723.671080, 0.000000
10178, 4, 5.000278, 210000777, 1.000004, 31685, 31685, 31685, 0, 7921, 0, 0, 12, 520892, 181899612, 208866, 29603652, 31684.882766, 31684.882766, 0.000000
10178, 5, 6.000505, 210047601, 1.000227, 31595, 31595, 31589, 0, 7897, 0, 0, 4, 501697, 181710209, 199462, 30031631, 31587.839939, 31581.841299, 0.000000
10178, 6, 7.000843, 210071012, 1.000338, 31613, 31613, 31612, 0, 7903, 0, 0, 1, 504325, 181776650, 200172, 29979069, 31602.313602, 31601.313940, 0.000000
10178, 7, 8.000845, 210000416, 1.000002, 31737, 31737, 31741, 0, 7936, 0, 0, 0, 504602, 181914507, 201520, 29605546, 31736.937131, 31740.937123, 0.000000
