ThreadID, cIDX, Time, cycles, deltaT, RX, OnRX, TX, SupTX, OnTX, Idle, OnIdle, Blocked, CacheMiss, CacheHit, CacheWB, CPUIdle, RX/s, TX/s, Sup/s
9709, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9709, 0, 1.000011, 210002403, 1.000011, 27289, 27289, 27289, 0, 6823, 0, 0, 1, 0, 0, 0, 29027294, 27288.687739, 27288.687739, 0.000000
9709, 1, 2.000352, 210071453, 1.000340, 27145, 27145, 27143, 0, 6785, 0, 0, 7, 0, 0, 0, 28998567, 27135.766991, 27133.767671, 0.000000
9709, 2, 3.000354, 210000560, 1.000003, 27121, 27121, 27128, 0, 6782, 0, 0, 5, 0, 0, 0, 29014482, 27120.927678, 27127.927659, 0.000000
9709, 3, 4.000464, 210023107, 1.000110, 27168, 27168, 27161, 0, 6791, 0, 0, 10, 0, 0, 0, 29178155, 27165.010943, 27158.011713, 0.000000
9709, 4, 5.000482, 210003768, 1.000018, 27064, 27064, 27070, 0, 6767, 0, 0, 8, 0, 0, 0, 29336572, 27063.514403, 27069.514296, 0.000000
9709, 5, 6.000538, 210011687, 1.000056, 27085, 27085, 27081, 0, 6770, 0, 0, 2, 0, 0, 0, 29764416, 27083.492739, 27079.492962, 0.000000
9709, 6, 7.000573, 210007307, 1.000035, 27102, 27102, 27100, 0, 6775, 0, 0, 0, 0, 0, 0, 29500044, 27101.057012, 27099.057082, 0.000000
9709, 7, 8.000579, 210001357, 1.000006, 27077, 27077, 27080, 0, 6770, 0, 0, 0, 0, 0, 0, 29401539, 27076.825032, 27079.825013, 0.000000
