ThreadID, cIDX, Time, cycles, deltaT, RX, OnRX, TX, SupTX, OnTX, Idle, OnIdle, Blocked, CacheMiss, CacheHit, CacheWB, CPUIdle, RX/s, TX/s, Sup/s
9368, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9368, 0, 1.000354, 210074398, 1.000354, 27125, 27125, 27124, 0, 6781, 0, 0, 0, 0, 0, 0, 29959822, 27115.393662, 27114.394016, 0.000000
9368, 1, 2.000584, 210048193, 1.000229, 27185, 27185, 27188, 0, 6797, 0, 0, 6, 0, 0, 0, 29847057, 27178.762733, 27181.762044, 0.000000
9368, 2, 3.000706, 210025593, 1.000122, 27164, 27164, 27153, 0, 6789, 0, 0, 12, 0, 0, 0, 29918097, 27160.689888, 27149.691228, 0.000000
9368, 3, 4.000779, 210015302, 1.000073, 27150, 27150, 27157, 0, 6789, 0, 0, 4, 0, 0, 0, 29846640, 27148.021814, 27155.021304, 0.000000
9368, 4, 5.000787, 210001718, 1.000008, 27097, 27097, 27107, 0, 6777, 0, 0, 7, 0, 0, 0, 30092898, 27096.778323, 27106.778241, 0.000000
9368, 5, 6.000807, 210004309, 1.000021, 27118, 27118, 27112, 0, 6778, 0, 0, 8, 0, 0, 0, 30525157, 27117.443576, 27111.443699, 0.000000
9368, 6, 7.000838, 210006458, 1.000031, 27085, 27085, 27083, 0, 6770, 0, 0, 0, 0, 0, 0, 30407263, 27084.167097, 27082.167159, 0.000000
9368, 7, 8.000845, 210001518, 1.000007, 27107, 27107, 27117, 0, 6780, 0, 0, 0, 0, 0, 0, 30333239, 27106.804057, 27116.803984, 0.000000
