ThreadID, cIDX, Time, cycles, deltaT, RX, OnRX, TX, SupTX, OnTX, Idle, OnIdle, Blocked, CacheMiss, CacheHit, CacheWB, CPUIdle, RX/s, TX/s, Sup/s
10944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10944, 0, 1.000050, 210010503, 1.000050, 31740, 31740, 31732, 0, 7933, 0, 0, 0, 644550, 182130534, 269666, 28966251, 31738.412626, 31730.413026, 0.000000
10944, 1, 2.000704, 210137419, 1.000654, 31722, 31722, 31721, 0, 7931, 0, 0, 4, 563566, 182140585, 229114, 29234619, 31701.255453, 31700.256107, 0.000000
10944, 2, 3.000707, 210000483, 1.000002, 31691, 31691, 31689, 0, 7922, 0, 0, 7, 555807, 182065041, 226434, 29264593, 31690.927111, 31688.927115, 0.000000
10944, 3, 4.001000, 210061514, 1.000293, 31573, 31573, 31572, 0, 7893, 0, 0, 5, 542373, 182132023, 220403, 29073793, 31563.754225, 31562.754518, 0.000000
10944, 4, 5.001017, 210003699, 1.000018, 31614, 31614, 31626, 0, 7906, 0, 0, 6, 527237, 181876130, 212737, 29657619, 31613.443152, 31625.442940, 0.000000
10944, 5, 6.001207, 210039821, 1.000190, 31683, 31683, 31668, 0, 7917, 0, 0, 2, 519539, 181666549, 208720, 30002729, 31676.993288, 31661.996132, 0.000000
10944, 6, 7.001222, 210003078, 1.000015, 31533, 31533, 31556, 0, 7889, 0, 0, 0, 517642, 181814663, 208758, 29648264, 31532.537823, 31555.537486, 0.000000
10944, 7, 8.001230, 210001854, 1.000009, 31600, 31600, 31600, 0, 7900, 0, 0, 0, 515985, 181845992, 205731, 29733997, 31599.721020, 31599.721020, 0.000000
