ThreadID, cIDX, Time, cycles, deltaT, RX, OnRX, TX, SupTX, OnTX, Idle, OnIdle, Blocked, CacheMiss, CacheHit, CacheWB, CPUIdle, RX/s, TX/s, Sup/s
10128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10128, 0, 1.000002, 210000427, 1.000002, 31685, 31685, 31690, 0, 7923, 0, 0, 0, 0, 0, 0, 29659804, 31684.935574, 31689.935564, 0.000000
10128, 1, 2.000087, 210017818, 1.000085, 31689, 31689, 31670, 0, 7917, 0, 0, 8, 0, 0, 0, 29841096, 31686.311492, 31667.313104, 0.000000
10128, 2, 3.000179, 210019448, 1.000093, 31695, 31695, 31720, 0, 7930, 0, 0, 10, 0, 0, 0, 29987879, 31692.065013, 31717.062698, 0.000000
10128, 3, 4.000200, 210004266, 1.000020, 31692, 31692, 31673, 0, 7919, 0, 0, 1, 0, 0, 0, 30067240, 31691.356213, 31672.356599, 0.000000
10128, 4, 5.000217, 210003619, 1.000017, 31622, 31622, 31615, 0, 7903, 0, 0, 5, 0, 0, 0, 30278403, 31621.455057, 31614.455178, 0.000000
10128, 5, 6.000285, 210014241, 1.000068, 31540, 31540, 31568, 0, 7892, 0, 0, 11, 0, 0, 0, 30666006, 31537.861282, 31565.859384, 0.000000
10128, 6, 7.000293, 210001689, 1.000008, 31662, 31662, 31648, 0, 7912, 0, 0, 0, 0, 0, 0, 30534460, 31661.745349, 31647.745462, 0.000000
10128, 7, 8.000294, 210000318, 1.000002, 31615, 31615, 31612, 0, 7903, 0, 0, 0, 0, 0, 0, 30423875, 31614.952126, 31611.952130, 0.000000
