ThreadID, cIDX, Time, cycles, deltaT, RX, OnRX, TX, SupTX, OnTX, Idle, OnIdle, Blocked, CacheMiss, CacheHit, CacheWB, CPUIdle, RX/s, TX/s, Sup/s
10805, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10805, 0, 1.000114, 210023915, 1.000114, 31576, 31576, 31560, 0, 7890, 0, 0, 0, 0, 0, 0, 28316694, 31572.404505, 31556.406326, 0.000000
10805, 1, 2.000713, 210125832, 1.000599, 31691, 31691, 31721, 0, 7931, 0, 0, 3, 0, 0, 0, 28366413, 31672.022124, 31702.004159, 0.000000
10805, 2, 3.000718, 210001064, 1.000005, 31626, 31626, 31605, 0, 7901, 0, 0, 6, 0, 0, 0, 28382413, 31625.839762, 31604.839869, 0.000000
10805, 3, 4.000733, 210003140, 1.000015, 31723, 31723, 31731, 0, 7933, 0, 0, 6, 0, 0, 0, 28311400, 31722.525673, 31730.525553, 0.000000
10805, 4, 5.000979, 210051611, 1.000246, 31628, 31628, 31603, 0, 7900, 0, 0, 2, 0, 0, 0, 28640255, 31620.228802, 31595.234944, 0.000000
10805, 5, 6.000989, 210002025, 1.000010, 31621, 31621, 31633, 0, 7909, 0, 0, 0, 0, 0, 0, 28986163, 31620.695086, 31632.694970, 0.000000
10805, 6, 7.001311, 210067812, 1.000323, 31678, 31678, 31668, 0, 7917, 0, 0, 0, 0, 0, 0, 28983109, 31667.774023, 31657.777251, 0.000000
10805, 7, 8.001706, 210082923, 1.000395, 31673, 31673, 31683, 0, 7920, 0, 0, 0, 0, 0, 0, 28940966, 31660.498174, 31670.494227, 0.000000
