ThreadID, cIDX, Time, cycles, deltaT, RX, OnRX, TX, SupTX, OnTX, Idle, OnIdle, Blocked, CacheMiss, CacheHit, CacheWB, CPUIdle, RX/s, TX/s, Sup/s
2733, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2733, 0, 1.000053, 210011136, 1.000053, 27220, 27220, 27220, 0, 6805, 0, 0, 0, 0, 0, 0, 28260366, 27218.556639, 27218.556639, 0.000000
2733, 1, 2.000563, 210107143, 1.000510, 27169, 27169, 27169, 0, 6793, 0, 0, 3, 0, 0, 0, 28191556, 27155.145316, 27155.145316, 0.000000
2733, 2, 3.000578, 210003039, 1.000014, 27152, 27152, 27152, 0, 6788, 0, 0, 3, 0, 0, 0, 28102177, 27151.607077, 27151.607077, 0.000000
2733, 3, 4.000590, 210002576, 1.000012, 27134, 27134, 27135, 0, 6783, 0, 0, 2, 0, 0, 0, 28360579, 27133.667160, 27134.667148, 0.000000
2733, 4, 5.000595, 210000991, 1.000005, 27126, 27126, 27120, 0, 6780, 0, 0, 2, 0, 0, 0, 28827511, 27125.871992, 27119.872020, 0.000000
2733, 5, 6.000635, 210008463, 1.000040, 27179, 27179, 27188, 0, 6797, 0, 0, 1, 0, 0, 0, 29144386, 27177.904730, 27186.904368, 0.000000
2733, 6, 7.000642, 210001494, 1.000007, 27158, 27158, 27152, 0, 6788, 0, 0, 2, 0, 0, 0, 28955270, 27157.806792, 27151.806834, 0.000000
2733, 7, 8.000645, 210000586, 1.000003, 27117, 27117, 27127, 0, 6782, 0, 0, 1, 0, 0, 0, 28716835, 27116.924331, 27126.924303, 0.000000
