ThreadID, cIDX, Time, cycles, deltaT, RX, OnRX, TX, SupTX, OnTX, Idle, OnIdle, Blocked, CacheMiss, CacheHit, CacheWB, CPUIdle, RX/s, TX/s, Sup/s
718, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
718, 0, 1.000062, 210012952, 1.000062, 27296, 27296, 27300, 0, 6825, 0, 0, 0, 699724, 183242127, 291880, 26765637, 27294.316591, 27298.316344, 0.000000
718, 1, 2.000107, 210009542, 1.000045, 27100, 27100, 27100, 0, 6775, 0, 0, 0, 608675, 183344230, 248004, 26682393, 27098.768684, 27098.768684, 0.000000
718, 2, 3.000111, 210000889, 1.000004, 27081, 27081, 27077, 0, 6770, 0, 0, 0, 586389, 183223552, 237921, 26917660, 27080.885358, 27076.885375, 0.000000
718, 3, 4.000234, 210025663, 1.000122, 27239, 27239, 27239, 0, 6809, 0, 0, 0, 581280, 183281270, 234536, 26869862, 27235.671671, 27235.671671, 0.000000
718, 4, 5.000243, 210001991, 1.000009, 27117, 27117, 27113, 0, 6779, 0, 0, 0, 571144, 183006797, 229903, 27288713, 27116.742907, 27112.742945, 0.000000
718, 5, 6.000294, 210010609, 1.000051, 27069, 27069, 27067, 0, 6766, 0, 0, 0, 566563, 182913710, 227700, 27585328, 27067.632569, 27065.632670, 0.000000
718, 6, 7.000330, 210007609, 1.000036, 27197, 27197, 27200, 0, 6800, 0, 0, 0, 563195, 183035371, 225138, 27308266, 27196.014598, 27199.014489, 0.000000
718, 7, 8.000381, 210010855, 1.000052, 27099, 27099, 27108, 0, 6777, 0, 0, 1, 558127, 183031886, 223966, 27475305, 27097.599312, 27106.598847, 0.000000
