ThreadID, cIDX, Time, cycles, deltaT, RX, OnRX, TX, SupTX, OnTX, Idle, OnIdle, Blocked, CacheMiss, CacheHit, CacheWB, CPUIdle, RX/s, TX/s, Sup/s
11019, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11019, 0, 1.000015, 210003057, 1.000015, 27261, 27261, 27268, 0, 6817, 0, 0, 0, 669588, 182096309, 281456, 31605964, 27260.603164, 27267.603062, 0.000000
11019, 1, 2.000015, 210000190, 1.000001, 27103, 27103, 27098, 0, 6775, 0, 0, 1, 588216, 182138158, 242321, 31688549, 27102.975478, 27097.975483, 0.000000
11019, 2, 3.000109, 210019664, 1.000094, 27135, 27135, 27130, 0, 6782, 0, 0, 4, 558901, 182087445, 229394, 31878932, 27132.459368, 27127.459836, 0.000000
11019, 3, 4.000139, 210006186, 1.000029, 27166, 27166, 27168, 0, 6792, 0, 0, 6, 535299, 182037359, 219377, 31950592, 27165.199791, 27167.199732, 0.000000
11019, 4, 5.000139, 210000195, 1.000001, 27159, 27159, 27168, 0, 6792, 0, 0, 11, 518400, 181847101, 210603, 32285487, 27158.974781, 27167.974773, 0.000000
11019, 5, 6.000242, 210021505, 1.000102, 27071, 27071, 27056, 0, 6764, 0, 0, 2, 513180, 181682545, 207419, 32582993, 27068.228085, 27053.229620, 0.000000
11019, 6, 7.000312, 210014751, 1.000070, 27138, 27138, 27144, 0, 6786, 0, 0, 8, 513874, 181811524, 208647, 32256659, 27136.093883, 27142.093462, 0.000000
11019, 7, 8.000522, 210044068, 1.000210, 27175, 27175, 27168, 0, 6792, 0, 0, 0, 513754, 181916298, 207725, 32285710, 27169.298587, 27162.300056, 0.000000
