ThreadID, cIDX, Time, cycles, deltaT, RX, OnRX, TX, SupTX, OnTX, Idle, OnIdle, Blocked, CacheMiss, CacheHit, CacheWB, CPUIdle, RX/s, TX/s, Sup/s
10562, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10562, 0, 1.000035, 210007409, 1.000035, 31587, 31587, 31588, 0, 7897, 0, 0, 0, 648919, 182093481, 267473, 29098163, 31585.885620, 31586.885585, 0.000000
10562, 1, 2.000154, 210024867, 1.000118, 31698, 31698, 31680, 0, 7920, 0, 0, 2, 559124, 182107827, 222927, 29165330, 31694.246948, 31676.249080, 0.000000
10562, 2, 3.000706, 210115912, 1.000552, 31699, 31699, 31713, 0, 7929, 0, 0, 4, 545356, 182054342, 217108, 29317573, 31681.513012, 31695.505289, 0.000000
10562, 3, 4.000753, 210009966, 1.000047, 31644, 31644, 31655, 0, 7913, 0, 0, 2, 532627, 181963143, 212082, 29411538, 31642.498337, 31653.497815, 0.000000
10562, 4, 5.000804, 210010730, 1.000051, 31663, 31663, 31668, 0, 7917, 0, 0, 3, 531789, 181935671, 212306, 29664603, 31661.382254, 31666.381999, 0.000000
10562, 5, 6.000913, 210022782, 1.000108, 31584, 31584, 31569, 0, 7893, 0, 0, 0, 525761, 181632226, 208399, 30161216, 31580.573959, 31565.575586, 0.000000
10562, 6, 7.001055, 210029908, 1.000142, 31625, 31625, 31611, 0, 7902, 0, 0, 0, 525665, 181712765, 210622, 30028705, 31620.496639, 31606.498633, 0.000000
10562, 7, 8.001159, 210021870, 1.000104, 31641, 31641, 31668, 0, 7917, 0, 0, 0, 526628, 181879354, 209739, 29720185, 31637.705159, 31664.702347, 0.000000
