ThreadID, cIDX, Time, cycles, deltaT, RX, OnRX, TX, SupTX, OnTX, Idle, OnIdle, Blocked, CacheMiss, CacheHit, CacheWB, CPUIdle, RX/s, TX/s, Sup/s
10690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10690, 0, 1.000035, 210007371, 1.000035, 31608, 31608, 31620, 0, 7905, 0, 0, 1, 662804, 182123258, 272105, 29018187, 31606.890598, 31618.890177, 0.000000
10690, 1, 2.000036, 210000271, 1.000001, 31668, 31668, 31672, 0, 7918, 0, 0, 0, 565913, 182118565, 227481, 29102766, 31667.959133, 31671.959128, 0.000000
10690, 2, 3.000053, 210003389, 1.000016, 31712, 31712, 31686, 0, 7922, 0, 0, 0, 544208, 182045639, 216559, 29262095, 31711.488237, 31685.488657, 0.000000
10690, 3, 4.000158, 210022097, 1.000105, 31677, 31677, 31698, 0, 7924, 0, 0, 5, 528947, 181969927, 209769, 29452326, 31673.667176, 31694.664967, 0.000000
10690, 4, 5.000166, 210001680, 1.000008, 31632, 31632, 31633, 0, 7909, 0, 0, 10, 517329, 181879720, 202909, 29618094, 31631.746946, 31632.746938, 0.000000
10690, 5, 6.000323, 210033063, 1.000157, 31560, 31560, 31551, 0, 7887, 0, 0, 5, 508472, 181593941, 198113, 30190436, 31555.031886, 31546.033302, 0.000000
10690, 6, 7.000743, 210088193, 1.000420, 31671, 31671, 31656, 0, 7914, 0, 0, 3, 507717, 181803279, 199147, 29919708, 31657.704819, 31642.711116, 0.000000
10690, 7, 8.001082, 210071146, 1.000339, 31610, 31610, 31604, 0, 7901, 0, 0, 0, 505841, 181917065, 197696, 29752454, 31599.294460, 31593.296492, 0.000000
