ThreadID, cIDX, Time, cycles, deltaT, RX, OnRX, TX, SupTX, OnTX, Idle, OnIdle, Blocked, CacheMiss, CacheHit, CacheWB, CPUIdle, RX/s, TX/s, Sup/s
247, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
247, 0, 1.000005, 210001099, 1.000005, 31535, 31535, 31542, 0, 7886, 0, 0, 0, 0, 0, 0, 29157495, 31534.834968, 31541.834931, 0.000000
247, 1, 2.000090, 210017754, 1.000085, 31683, 31683, 31670, 0, 7917, 0, 0, 2, 0, 0, 0, 29135702, 31680.321655, 31667.322754, 0.000000
247, 2, 3.000097, 210001463, 1.000007, 31700, 31700, 31713, 0, 7929, 0, 0, 4, 0, 0, 0, 29316295, 31699.779158, 31712.779068, 0.000000
247, 3, 4.000138, 210008583, 1.000041, 31596, 31596, 31599, 0, 7899, 0, 0, 2, 0, 0, 0, 29275921, 31594.708679, 31597.708557, 0.000000
247, 4, 5.000272, 210028287, 1.000135, 31634, 31634, 31604, 0, 7901, 0, 0, 0, 0, 0, 0, 29507071, 31629.739474, 31599.743515, 0.000000
247, 5, 6.000355, 210017409, 1.000083, 31668, 31668, 31700, 0, 7925, 0, 0, 1, 0, 0, 0, 29951396, 31665.374940, 31697.372288, 0.000000
247, 6, 7.000517, 210033940, 1.000162, 31544, 31544, 31520, 0, 7880, 0, 0, 1, 0, 0, 0, 29813843, 31538.902713, 31514.906591, 0.000000
247, 7, 8.000826, 210064824, 1.000309, 31669, 31669, 31668, 0, 7917, 0, 0, 0, 0, 0, 0, 29674076, 31659.227249, 31658.227557, 0.000000
