ThreadID, cIDX, Time, cycles, deltaT, RX, OnRX, TX, SupTX, OnTX, Idle, OnIdle, Blocked, CacheMiss, CacheHit, CacheWB, CPUIdle, RX/s, TX/s, Sup/s
2510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2510, 0, 1.000697, 210146402, 1.000697, 27200, 27200, 27200, 0, 6800, 0, 0, 0, 660463, 182148496, 272770, 29144924, 27181.050666, 27181.050666, 0.000000
2510, 1, 2.000737, 210008369, 1.000040, 27180, 27180, 27180, 0, 6795, 0, 0, 0, 575048, 182184057, 233109, 28864684, 27178.916855, 27178.916855, 0.000000
2510, 2, 3.000745, 210001714, 1.000008, 27145, 27145, 27146, 0, 6787, 0, 0, 1, 550776, 182115589, 221420, 29057866, 27144.778447, 27145.778439, 0.000000
2510, 3, 4.000747, 210000452, 1.000002, 27177, 27177, 27178, 0, 6794, 0, 0, 4, 534737, 182044141, 211555, 29223467, 27176.941505, 27177.941503, 0.000000
2510, 4, 5.000791, 210009194, 1.000044, 27118, 27118, 27116, 0, 6779, 0, 0, 0, 521789, 181959656, 205455, 29542037, 27116.812800, 27114.812888, 0.000000
2510, 5, 6.000867, 210015867, 1.000076, 27101, 27101, 27096, 0, 6774, 0, 0, 2, 516116, 181679441, 203648, 29976523, 27098.952481, 27093.952858, 0.000000
2510, 6, 7.000879, 210002567, 1.000012, 27103, 27103, 27112, 0, 6778, 0, 0, 0, 511332, 181712533, 201842, 29926221, 27102.668702, 27111.668592, 0.000000
2510, 7, 8.000944, 210013663, 1.000065, 27116, 27116, 27109, 0, 6778, 0, 0, 1, 509315, 181896165, 200439, 29631372, 27114.235896, 27107.236352, 0.000000
