ThreadID, cIDX, Time, cycles, deltaT, RX, OnRX, TX, SupTX, OnTX, Idle, OnIdle, Blocked, CacheMiss, CacheHit, CacheWB, CPUIdle, RX/s, TX/s, Sup/s
9250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9250, 0, 1.000018, 210003809, 1.000018, 31589, 31589, 31604, 0, 7901, 0, 0, 2, 0, 0, 0, 28374176, 31588.427046, 31603.426774, 0.000000
9250, 1, 2.000087, 210014495, 1.000069, 31694, 31694, 31661, 0, 7916, 0, 0, 0, 0, 0, 0, 28138757, 31691.812510, 31658.814788, 0.000000
9250, 2, 3.000706, 210129928, 1.000619, 31694, 31694, 31715, 0, 7928, 0, 0, 11, 0, 0, 0, 28398703, 31674.402896, 31695.389911, 0.000000
9250, 3, 4.000756, 210010500, 1.000050, 31720, 31720, 31705, 0, 7927, 0, 0, 6, 0, 0, 0, 28279681, 31718.414079, 31703.414829, 0.000000
9250, 4, 5.000778, 210004545, 1.000022, 31685, 31685, 31698, 0, 7924, 0, 0, 7, 0, 0, 0, 28636897, 31684.314261, 31697.313980, 0.000000
9250, 5, 6.000781, 210000676, 1.000003, 31599, 31599, 31605, 0, 7901, 0, 0, 8, 0, 0, 0, 28638381, 31598.898282, 31604.898262, 0.000000
9250, 6, 7.000934, 210032144, 1.000153, 31697, 31697, 31676, 0, 7919, 0, 0, 0, 0, 0, 0, 28985371, 31692.148988, 31671.152202, 0.000000
9250, 7, 8.001011, 210016297, 1.000078, 31736, 31736, 31736, 0, 7934, 0, 0, 0, 0, 0, 0, 28690570, 31733.537326, 31733.537326, 0.000000
