ThreadID, cIDX, Time, cycles, deltaT, RX, OnRX, TX, SupTX, OnTX, Idle, OnIdle, Blocked, CacheMiss, CacheHit, CacheWB, CPUIdle, RX/s, TX/s, Sup/s
10786, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10786, 0, 1.000067, 210013972, 1.000067, 31589, 31589, 31576, 0, 7894, 0, 0, 0, 0, 0, 0, 28267387, 31586.898418, 31573.899283, 0.000000
10786, 1, 2.000640, 210120399, 1.000573, 31665, 31665, 31680, 0, 7920, 0, 0, 3, 0, 0, 0, 28397842, 31646.855953, 31661.847358, 0.000000
10786, 2, 3.000668, 210006013, 1.000029, 31711, 31711, 31693, 0, 7924, 0, 0, 5, 0, 0, 0, 28348230, 31710.092034, 31692.092550, 0.000000
10786, 3, 4.000749, 210016880, 1.000080, 31694, 31694, 31702, 0, 7925, 0, 0, 8, 0, 0, 0, 28375502, 31691.452611, 31699.451968, 0.000000
10786, 4, 5.000870, 210025444, 1.000121, 31628, 31628, 31621, 0, 7905, 0, 0, 0, 0, 0, 0, 28720249, 31624.168356, 31617.169204, 0.000000
10786, 5, 6.000976, 210022230, 1.000106, 31593, 31593, 31596, 0, 7899, 0, 0, 3, 0, 0, 0, 29066252, 31589.656009, 31592.655692, 0.000000
10786, 6, 7.001000, 210004959, 1.000024, 31672, 31672, 31700, 0, 7925, 0, 0, 0, 0, 0, 0, 28928413, 31671.252106, 31699.251445, 0.000000
10786, 7, 8.001001, 210000375, 1.000002, 31572, 31572, 31547, 0, 7887, 0, 0, 0, 0, 0, 0, 28956414, 31571.943622, 31546.943666, 0.000000
