ThreadID, cIDX, Time, cycles, deltaT, RX, OnRX, TX, SupTX, OnTX, Idle, OnIdle, Blocked, CacheMiss, CacheHit, CacheWB, CPUIdle, RX/s, TX/s, Sup/s
9095, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9095, 0, 1.000140, 210029423, 1.000140, 29354, 29354, 29344, 0, 7901, 0, 0, 0, 661860, 182030656, 276778, 32186684, 29349.887801, 29339.889202, 0.000000
9095, 1, 2.000176, 210007596, 1.000036, 29437, 29437, 29456, 0, 7930, 0, 0, 2, 571672, 182106278, 232664, 32236608, 29435.935260, 29454.934573, 0.000000
9095, 2, 3.000208, 210006632, 1.000032, 29429, 29429, 29412, 0, 7919, 0, 0, 1, 551855, 182025780, 225534, 32389201, 29428.070634, 29411.071170, 0.000000
9095, 3, 4.000225, 210003617, 1.000017, 29409, 29409, 29428, 0, 7922, 0, 0, 3, 546709, 182062081, 222235, 32420581, 29408.493474, 29427.493146, 0.000000
9095, 4, 5.000244, 210003914, 1.000019, 29366, 29366, 29354, 0, 7907, 0, 0, 0, 539909, 181774884, 218052, 32894937, 29365.452684, 29353.452908, 0.000000
9095, 5, 6.000470, 210047503, 1.000226, 29393, 29393, 29382, 0, 7912, 0, 0, 0, 535710, 181759861, 216849, 32965745, 29386.352667, 29375.355155, 0.000000
9095, 6, 7.000472, 210000442, 1.000002, 29321, 29321, 29341, 0, 7896, 0, 0, 1, 532121, 181813044, 212934, 32768438, 29320.938286, 29340.938244, 0.000000
9095, 7, 8.000606, 210028138, 1.000134, 29367, 29367, 29347, 0, 7900, 0, 0, 0, 526272, 181814546, 210088, 32975891, 29363.065629, 29343.068308, 0.000000
