ThreadID, cIDX, Time, cycles, deltaT, RX, OnRX, TX, SupTX, OnTX, Idle, OnIdle, Blocked, CacheMiss, CacheHit, CacheWB, CPUIdle, RX/s, TX/s, Sup/s
11071, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11071, 0, 1.000029, 210006174, 1.000029, 27149, 27149, 27156, 0, 6789, 0, 0, 0, 0, 0, 0, 28313741, 27148.201843, 27155.201637, 0.000000
11071, 1, 2.000052, 210004679, 1.000022, 27170, 27170, 27172, 0, 6793, 0, 0, 4, 0, 0, 0, 28197916, 27169.394640, 27171.394595, 0.000000
11071, 2, 3.000060, 210001781, 1.000008, 27154, 27154, 27152, 0, 6788, 0, 0, 5, 0, 0, 0, 28378717, 27153.769710, 27151.769727, 0.000000
11071, 3, 4.000109, 210010189, 1.000049, 27176, 27176, 27176, 0, 6794, 0, 0, 3, 0, 0, 0, 28412371, 27174.681510, 27174.681510, 0.000000
11071, 4, 5.000119, 210002153, 1.000010, 27147, 27147, 27140, 0, 6785, 0, 0, 3, 0, 0, 0, 28793334, 27146.721681, 27139.721753, 0.000000
11071, 5, 6.000142, 210004844, 1.000023, 27072, 27072, 27068, 0, 6767, 0, 0, 7, 0, 0, 0, 29092073, 27071.375554, 27067.375646, 0.000000
11071, 6, 7.000147, 210000984, 1.000005, 27102, 27102, 27108, 0, 6777, 0, 0, 2, 0, 0, 0, 28939561, 27101.873008, 27107.872980, 0.000000
11071, 7, 8.000202, 210011705, 1.000056, 27109, 27109, 27104, 0, 6776, 0, 0, 0, 0, 0, 0, 28715142, 27107.489080, 27102.489359, 0.000000
