ThreadID, cIDX, Time, cycles, deltaT, RX, OnRX, TX, SupTX, OnTX, Idle, OnIdle, Blocked, CacheMiss, CacheHit, CacheWB, CPUIdle, RX/s, TX/s, Sup/s
8591, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8591, 0, 1.000008, 210001625, 1.000008, 27178, 27178, 27178, 0, 6795, 0, 0, 0, 647652, 182298464, 265446, 31767856, 27177.789696, 27177.789696, 0.000000
8591, 1, 2.000009, 210000366, 1.000002, 27092, 27092, 27087, 0, 6772, 0, 0, 8, 567187, 182388154, 223496, 31732332, 27091.952783, 27086.952791, 0.000000
8591, 2, 3.000068, 210012225, 1.000058, 27151, 27151, 27155, 0, 6788, 0, 0, 10, 545064, 182330692, 213221, 31874382, 27149.419516, 27153.419283, 0.000000
8591, 3, 4.000117, 210010410, 1.000050, 27188, 27188, 27192, 0, 6798, 0, 0, 5, 537854, 182404148, 208255, 31781806, 27186.652319, 27190.652121, 0.000000
8591, 4, 5.000179, 210012996, 1.000062, 27169, 27169, 27164, 0, 6791, 0, 0, 0, 527932, 182164633, 205714, 32085976, 27167.318731, 27162.319040, 0.000000
8591, 5, 6.000243, 210013304, 1.000063, 27102, 27102, 27108, 0, 6777, 0, 0, 0, 521408, 182048280, 202108, 32356631, 27100.283133, 27106.282752, 0.000000
8591, 6, 7.000284, 210008691, 1.000041, 27143, 27143, 27132, 0, 6783, 0, 0, 1, 518932, 182047007, 199981, 32425443, 27141.876714, 27130.877169, 0.000000
8591, 7, 8.000348, 210013560, 1.000065, 27199, 27199, 27212, 0, 6803, 0, 0, 1, 513193, 182049939, 196927, 32338991, 27197.243835, 27210.242996, 0.000000
